Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JA356172,23464,07/20/2017 04:10:00 PM,053XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0231,3,01A,1179389,1869726,2017,07/27/2017 03:50:07 PM,41.797813412,-87.617679396,"(41.797813412, -87.617679396)"
JA353895,23463,07/18/2017 10:51:00 PM,016XX W 18TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1234,25,01A,1165627,1891132,2017,07/25/2017 03:48:23 PM,41.856857054,-87.667538474,"(41.856857054, -87.667538474)"
JA353739,23462,07/18/2017 08:53:00 PM,071XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0323,6,01A,1177523,1857635,2017,07/25/2017 03:48:23 PM,41.76467689,-87.624887576,"(41.76467689, -87.624887576)"
JA352552,23461,07/18/2017 02:24:00 AM,084XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,8,01A,1183361,1849252,2017,07/25/2017 03:48:23 PM,41.741539131,-87.603750482,"(41.741539131, -87.603750482)"
JA352359,23460,07/17/2017 09:55:00 PM,079XX S SOUTH CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,0411,8,01A,1188659,1852574,2017,07/24/2017 03:54:23 PM,41.750530118,-87.584233158,"(41.750530118, -87.584233158)"
JA351722,23459,07/17/2017 02:35:00 PM,063XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,20,01A,1181324,1863116,2017,07/24/2017 03:54:23 PM,41.779630545,-87.61078722,"(41.779630545, -87.61078722)"
JA351722,23458,07/17/2017 02:35:00 PM,063XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,20,01A,1181324,1863116,2017,07/24/2017 03:54:23 PM,41.779630545,-87.61078722,"(41.779630545, -87.61078722)"
JA349761,23457,07/16/2017 09:40:00 PM,029XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1211,26,01A,1156298,1906508,2017,07/23/2017 03:50:19 PM,41.899243731,-87.701365533,"(41.899243731, -87.701365533)"
JA349870,23456,07/16/2017 04:02:00 AM,021XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,5,01A,1191917,1858282,2017,07/23/2017 03:50:19 PM,41.766114877,-87.572109448,"(41.766114877, -87.572109448)"
JA349780,23454,07/16/2017 01:45:00 AM,039XX W ARTHINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,24,01A,1150187,1895743,2017,07/23/2017 03:50:19 PM,41.86982474,-87.724091957,"(41.86982474, -87.724091957)"
JA349234,23453,07/15/2017 04:28:00 PM,001XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0634,21,01A,1177048,1841963,2017,07/22/2017 03:52:17 PM,41.721681725,-87.627099997,"(41.721681725, -87.627099997)"
JA348629,23452,07/15/2017 05:43:00 AM,004XX N KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,28,01A,1154955,1903133,2017,07/22/2017 03:52:17 PM,41.890009454,-87.706388944,"(41.890009454, -87.706388944)"
JA348610,23451,07/15/2017 04:27:00 AM,044XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1113,28,01A,1146808,1899294,2017,07/22/2017 03:52:17 PM,41.879634247,-87.736406709,"(41.879634247, -87.736406709)"
JA348414,23449,07/15/2017 12:08:00 AM,035XX E 97TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0432,10,01A,1201562,1841388,2017,07/22/2017 03:52:17 PM,41.719516953,-87.537330752,"(41.719516953, -87.537330752)"
JA289444,23329,06/02/2017 01:45:00 PM,078XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,true,false,0624,6,01A,1181923,1853151,2017,07/22/2017 03:50:28 PM,41.752271749,-87.608898923,"(41.752271749, -87.608898923)"
JA347910,23450,07/14/2017 04:40:00 PM,083XX S HAMILTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0614,18,01A,1163481,1849312,2017,07/21/2017 03:52:41 PM,41.742143202,-87.676588266,"(41.742143202, -87.676588266)"
JA348390,23448,07/14/2017 10:50:00 PM,106XX S GREEN BAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0432,10,01A,1200525,1834939,2017,07/21/2017 03:52:41 PM,41.701846601,-87.541346134,"(41.701846601, -87.541346134)"
JA348372,23447,07/14/2017 10:42:00 PM,046XX S WASHTENAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0922,12,01A,1159149,1873745,2017,07/21/2017 03:52:41 PM,41.809280492,-87.69179294,"(41.809280492, -87.69179294)"
JA348138,23446,07/14/2017 09:24:00 PM,000XX W PERSHING RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0213,3,01A,1176527,1879134,2017,07/21/2017 03:52:41 PM,41.823694722,-87.627891537,"(41.823694722, -87.627891537)"
JA348123,23445,07/14/2017 07:44:00 PM,045XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1131,24,01A,1146155,1898302,2017,07/21/2017 03:52:41 PM,41.876924519,-87.738829686,"(41.876924519, -87.738829686)"
JA347135,23444,07/14/2017 01:00:00 AM,100XX S PARNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2232,9,01A,1174403,1838377,2017,07/21/2017 03:52:41 PM,41.711900371,-87.636894381,"(41.711900371, -87.636894381)"
JA347202,23443,07/14/2017 02:43:00 AM,080XX S VERNON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0631,6,01A,1180638,1851834,2017,07/21/2017 03:52:41 PM,41.748687349,-87.613648217,"(41.748687349, -87.613648217)"
